ref,pin,net,domain,direction,voltage_max_v,status,comment
U1,3V3,LOGIC_3V3,SELV_3V3,POWER_SOURCE,3.6,PROVISIONAL,Capacite du regulateur Wemos a confirmer
U1,GND,LOGIC_GND,SELV_0V,POWER_RETURN,0,PROVISIONAL,Masse commune du banc USB
U1,GPIO_SDA,I2C_SDA,SELV_3V3,BIDIRECTIONAL,3.6,GPIO_PENDING,Numero GPIO apres identification de la carte
U1,GPIO_SCL,I2C_SCL,SELV_3V3,BIDIRECTIONAL,3.6,GPIO_PENDING,Numero GPIO apres identification de la carte
U2,VCC,LOGIC_3V3,SELV_3V3,POWER_INPUT,3.6,PROVISIONAL,DFR0971 alimente initialement en 3.3 V
U2,GND,LOGIC_GND,SELV_0V,POWER_RETURN,0,PROVISIONAL,Masse DAC et reference VOUT
U2,SDA,I2C_SDA,SELV_3V3,BIDIRECTIONAL,3.6,VALIDATED,Adresse mesuree 0x5F
U2,SCL,I2C_SCL,SELV_3V3,BIDIRECTIONAL,3.6,VALIDATED,Adresse mesuree 0x5F
U2,VOUT0,AO_0_10V,ANALOG_0_10,OUTPUT,10.2,TEST_ONLY,Vers voltmetre uniquement avant validation
U2,VOUT1,AO2_0_10V,ANALOG_0_10,OUTPUT,10.2,TEST_ONLY,Vers voltmetre uniquement avant validation
U3,VCC,LOGIC_3V3,SELV_3V3,POWER_INPUT,3.6,PROVISIONAL,SEN0536 alimente initialement en 3.3 V
U3,GND,LOGIC_GND,SELV_0V,POWER_RETURN,0,PROVISIONAL,Masse capteur
U3,SDA,I2C_SDA,SELV_3V3,BIDIRECTIONAL,3.6,PROVISIONAL,Adresse attendue 0x62
U3,SCL,I2C_SCL,SELV_3V3,BIDIRECTIONAL,3.6,PROVISIONAL,Adresse attendue 0x62
TP1,V,AO_0_10V,ANALOG_0_10,TEST_POINT,10.2,TEST_ONLY,Point de mesure canal 0
TP2,V,AO2_0_10V,ANALOG_0_10,TEST_POINT,10.2,TEST_ONLY,Point de mesure canal 1
TP0,COM,LOGIC_GND,SELV_0V,TEST_POINT,0,TEST_ONLY,Reference commune du voltmetre
