time_s,co2_ppm,state,fault,output_pct,filtered_ppm
0,500.0,STARTUP,NONE,100,500
5,500.0,STARTUP,NONE,100,500
10,500.0,STARTUP,NONE,100,500
15,500.0,AUTO,NONE,99,500
20,500.0,AUTO,NONE,98,500
25,500.0,AUTO,NONE,97,500
30,500.0,AUTO,NONE,96,500
35,500.0,AUTO,NONE,95,500
40,500.0,AUTO,NONE,94,500
45,500.0,AUTO,NONE,93,500
50,500.0,AUTO,NONE,92,500
55,500.0,AUTO,NONE,91,500
60,500.0,AUTO,NONE,90,500
65,500.0,AUTO,NONE,89,500
70,500.0,AUTO,NONE,88,500
75,500.0,AUTO,NONE,87,500
80,500.0,AUTO,NONE,86,500
85,500.0,AUTO,NONE,85,500
90,500.0,AUTO,NONE,84,500
95,500.0,AUTO,NONE,83,500
100,500.0,AUTO,NONE,82,500
105,500.0,AUTO,NONE,81,500
110,500.0,AUTO,NONE,80,500
115,500.0,AUTO,NONE,79,500
120,500.0,AUTO,NONE,78,500
125,500.0,AUTO,NONE,77,500
130,500.0,AUTO,NONE,76,500
135,500.0,AUTO,NONE,75,500
140,500.0,AUTO,NONE,74,500
145,500.0,AUTO,NONE,73,500
150,500.0,AUTO,NONE,72,500
155,500.0,AUTO,NONE,71,500
160,500.0,AUTO,NONE,70,500
165,500.0,AUTO,NONE,69,500
170,500.0,AUTO,NONE,68,500
175,500.0,AUTO,NONE,67,500
180,500.0,AUTO,NONE,66,500
185,500.0,AUTO,NONE,65,500
190,500.0,AUTO,NONE,64,500
195,500.0,AUTO,NONE,63,500
200,500.0,AUTO,NONE,62,500
205,500.0,AUTO,NONE,61,500
210,500.0,AUTO,NONE,60,500
215,500.0,AUTO,NONE,59,500
220,500.0,AUTO,NONE,58,500
225,500.0,AUTO,NONE,57,500
230,500.0,AUTO,NONE,56,500
235,500.0,AUTO,NONE,55,500
240,500.0,AUTO,NONE,54,500
245,500.0,AUTO,NONE,53,500
250,500.0,AUTO,NONE,52,500
255,500.0,AUTO,NONE,51,500
