channel,target_v,load_ohm,open_v,loaded_v,repeat,temperature_c,comment
0,0,10000,,,1,,
0,0,10000,,,2,,
0,0,10000,,,3,,
0,2,10000,,,1,,
0,2,10000,,,2,,
0,2,10000,,,3,,
0,5,10000,,,1,,
0,5,10000,,,2,,
0,5,10000,,,3,,
0,8,10000,,,1,,
0,8,10000,,,2,,
0,8,10000,,,3,,
0,10,10000,,,1,,
0,10,10000,,,2,,
0,10,10000,,,3,,
1,0,10000,,,1,,
1,0,10000,,,2,,
1,0,10000,,,3,,
1,2,10000,,,1,,
1,2,10000,,,2,,
1,2,10000,,,3,,
1,5,10000,,,1,,
1,5,10000,,,2,,
1,5,10000,,,3,,
1,8,10000,,,1,,
1,8,10000,,,2,,
1,8,10000,,,3,,
1,10,10000,,,1,,
1,10,10000,,,2,,
1,10,10000,,,3,,
